CustomerID,Recency,Frequency,Monetary,Cluster,DBSCAN_Cluster,Segment,Target
12346.0,326,2,0.0,1,0,At Risk,0
12347.0,2,182,4310.0,0,0,High Value,1
12348.0,75,31,1797.24,0,0,High Value,1
12349.0,19,73,1757.55,0,0,High Value,1
12350.0,310,17,334.4,1,0,At Risk,0
12352.0,36,95,1545.41,0,0,Low Value,1
12353.0,204,4,89.0,1,0,At Risk,0
12354.0,232,58,1079.4,1,0,At Risk,1
12355.0,214,13,459.4,1,0,At Risk,0
12356.0,23,59,2811.43,0,0,High Value,1
12357.0,33,131,6207.67,0,0,High Value,1
12358.0,2,19,1168.06,0,0,Low Value,1
12359.0,8,254,6245.53,0,0,High Value,1
12360.0,52,129,2662.06,0,0,High Value,1
12361.0,287,10,189.9,1,0,At Risk,0
12362.0,3,274,5154.58,0,0,High Value,1
12363.0,110,23,552.0,0,0,Low Value,0
12364.0,8,85,1313.1,0,0,Low Value,1
12365.0,291,23,320.69,1,0,At Risk,0
12367.0,4,11,168.9,0,0,Low Value,0
12370.0,51,167,3545.69,0,0,High Value,1
12371.0,45,63,1887.96,0,0,High Value,1
12372.0,72,52,1298.04,0,0,Low Value,1
12373.0,311,14,364.6,1,0,At Risk,0
12374.0,25,33,742.9300000000001,0,0,Low Value,1
12375.0,3,18,455.42,0,0,Low Value,0
12377.0,315,77,1628.12,1,0,High Value,1
12378.0,130,219,4008.62,0,0,High Value,1
12379.0,82,41,850.29,0,0,Low Value,1
12380.0,22,105,2720.56,0,0,High Value,1
12381.0,5,91,1803.96,0,0,High Value,1
12383.0,185,100,1839.31,1,0,High Value,1
12384.0,29,30,566.16,0,0,Low Value,0
12386.0,338,10,401.9,1,0,At Risk,0
12388.0,16,100,2780.66,0,0,High Value,1
12390.0,80,32,549.84,0,0,Low Value,0
12391.0,22,100,460.89,0,0,Low Value,0
12393.0,72,64,1582.6000000000001,0,0,Low Value,1
12394.0,64,27,1272.48,0,0,Low Value,1
12395.0,16,159,2998.28,0,0,High Value,1
12397.0,36,126,2409.9,0,0,High Value,1
12398.0,46,85,1635.6599999999999,0,0,High Value,1
12399.0,119,59,1108.65,0,0,Low Value,1
12401.0,303,5,84.3,1,0,At Risk,0
12402.0,323,11,225.6,1,0,At Risk,0
12403.0,50,6,409.7,0,0,Low Value,0
12405.0,149,54,1710.39,1,0,High Value,1
12406.0,22,108,3280.75,0,0,High Value,1
12407.0,50,77,1708.1200000000001,0,0,High Value,1
12408.0,33,113,2842.57,0,0,High Value,1
12409.0,79,114,11056.93,0,0,High Value,1
12410.0,301,28,681.0799999999999,1,0,At Risk,1
12412.0,75,61,1226.88,0,0,Low Value,1
12413.0,67,40,694.15,0,0,Low Value,1
12414.0,217,18,562.41,1,0,At Risk,0
12415.0,24,778,123725.45,3,-1,High Value,1
